lamore|true|2402
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,3.226801936762058e-08,0.779988169670105|-5.28824428691621e-10,1,-4.179416634997324e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-2.455707459603218e-08,0.779988169670105|4.0238856691132696e-10,1,3.180674568170616e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-8.128507289484332e-08,0.779988169670105|1.3320105018976847e-09,1,1.0528190586001074e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-3.5721509306085863e-08,0.779988169670105|5.85391790597356e-10,1,4.6267167874702864e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,2.3906853385824434e-08,0.779988169670105|-3.9171124677217506e-10,1,-3.096455358786443e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,8.343333490756777e-08,0.779988169670105|-1.3671446197349724e-09,1,-1.0806431305354636e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,5.26381320753444e-08,0.779988169670105|-8.625503644665855e-10,1,-6.817784736767862e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-2.333339921278821e-08,0.779988169670105|3.8229730492389535e-10,1,3.022179129175129e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-8.399381101753534e-08,0.779988169670105|1.3762592177002375e-09,1,1.0879018930154416e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-5.3361873142421246e-08,0.779988169670105|8.743692991863838e-10,1,6.911521666097542e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,7.587968475775142e-09,0.779988169670105|-1.2428492957017312e-10,1,-9.828027280889273e-09|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,6.843367827968905e-08,0.779988169670105|-1.1212328843157593e-09,1,-8.863639067158147e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,6.849486311466535e-08,0.779988169670105|-1.1222603957250499e-09,1,-8.871565881918286e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,7.927241973959553e-09,0.779988169670105|-1.2992083797680465e-10,1,-1.0267521943774227e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-5.253689749906698e-08,0.779988169670105|8.607198287435835e-10,1,6.804658880810166e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-9.78171996735e-08,0.779988169670105|1.6025895055449269e-09,1,1.2669434568124416e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-5.2894232993594414e-08,0.779988169670105|8.666136142032599e-10,1,6.850944345160315e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,6.913507988315359e-09,0.779988169670105|-1.1321833054411812e-10,1,-8.95444252080324e-09|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,5.1702240710937986e-08,0.779988169670105|-8.469934198451767e-10,1,-6.696548382478795e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,8.16825220795181e-08,0.779988169670105|-1.338176014442638e-09,1,-1.0579640985497463e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,3.746721333186542e-08,0.779988169670105|-6.138368702224284e-10,1,-4.8528104201750466e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-2.139839594406112e-08,0.779988169670105|3.505060963693296e-10,1,2.7715470807265774e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-6.548158637542656e-08,0.779988169670105|1.0726802779359446e-09,1,8.481264757165263e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-6.585184308960379e-08,0.779988169670105|1.078771405538248e-09,1,8.529222839115391e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-7.951850733434185e-09,0.779988169670105|1.3030457268747853e-10,1,1.0299380015510451e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,3.540820969760716e-08,0.779988169670105|-5.799810631756941e-10,1,-4.5861156650062185e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,7.890511710684223e-08,0.779988169670105|-1.292522089357817e-09,1,-1.0219894619467595e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,2.204561688756712e-08,0.779988169670105|-3.6115702095607105e-10,1,-2.855380110133865e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-2.0535241063157628e-08,0.779988169670105|3.3632299722974324e-10,1,2.6597467339684044e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-7.722483985617146e-08,0.779988169670105|1.2649050695756614e-09,1,1.0002255379504277e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-6.347090675262734e-08,0.779988169670105|1.0396428162806615e-09,1,8.220830949312585e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-7.7200743575645e-09,0.779988169670105|1.2649291336597202e-10,1,9.999168604224451e-09|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,4.7935504454699185e-08,0.779988169670105|-7.850937677744696e-10,1,-6.208659897311009e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,4.857292523752221e-08,0.779988169670105|-7.955757164168631e-10,1,-6.291222121035389e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-6.067731206371718e-09,0.779988169670105|9.933505407122567e-11,1,7.858957928874588e-09|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-6.061502944021413e-08,0.779988169670105|9.927133559628487e-10,1,7.850921690533141e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-6.102698790755312e-08,0.779988169670105|9.99487825836809e-10,1,7.904281318360518e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-2.082987649032475e-08,0.779988169670105|3.4117603187056034e-10,1,2.6979103395774473e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,1.9315711696776816e-08,0.779988169670105|-3.162910211518266e-10,1,-2.501787399467048e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,7.276313596094042e-08,0.779988169670105|-1.1916029274416928e-09,1,-9.424351787856722e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,6.666870433491567e-08,0.779988169670105|-1.0918207449250872e-09,1,-8.634997783474319e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,1.7545401576057884e-08,0.779988169670105|-2.8736590884648194e-10,1,-2.272500232436414e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-4.7854413764980563e-08,0.779988169670105|7.836374327219175e-10,1,6.198146706992702e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-8.280780861014136e-08,0.779988169670105|1.3560529366074547e-09,1,1.0725344168349693e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-2.6775195394179718e-08,0.779988169670105|4.384975438309624e-10,1,3.4679505489521034e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,1.518643166775746e-08,0.779988169670105|-2.4863969216859516e-10,1,-1.9669565531899025e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,7.105161614617828e-08,0.779988169670105|-1.16345177936239e-09,1,-9.202664585927778e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,6.711302091844118e-08,0.779988169670105|-1.0989819054785244e-09,1,-8.6925361131307e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,1.941095106872126e-08,0.779988169670105|-3.1788358056950017e-10,1,-2.5141252635307865e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-4.409671205962695e-08,0.779988169670105|7.220214981451534e-10,1,5.7114391438517487e-08|Running
577.4403076171875,23.494110107421875,-576.2581176757812|-0.6780612468719482,-0.0000022117878870631102,0.7350053787231445|-0.00000143452052725479,1,0.0000016858314211276593|Running
576.9411010742188,23.494110107421875,-575.8828735351562|-0.7219089865684509,-9.262450362257368e-07,0.6919879913330078|-6.586821541532117e-07,1,6.513645303130033e-07|Running
576.5360107421875,23.494110107421875,-575.5897827148438|-0.7473810315132141,-5.779929210802948e-07,0.6643956899642944|-4.261968911123404e-07,1,3.90522473026067e-07|Running
