pargoy|true|979
-773.4922485351562,37.59080505371094,-745.5191650390625|-0.9000570774078369,-6.904159022269596e-08,0.4357720613479614|-8.09872275908674e-08,1,-8.83843132015727e-09|Running
-774.1687622070312,37.617557525634766,-745.196533203125|-0.9006118774414062,-9.204175199784004e-08,0.43462425470352173|-1.0330601440955434e-07,1,-2.2936381682825413e-09|Running
-774.732421875,37.64031219482422,-744.927734375|-0.9009867906570435,-1.1528268828442378e-07,0.4338465631008148|-1.2556772333027766e-07,1,4.950667875647241e-09|Running
-775.410888671875,37.66761779785156,-744.6091918945312|-0.9017806649208069,-6.693124277035167e-08,0.43219390511512756|-6.967376720012908e-08,1,9.488297258997136e-09|Running
-775.9763793945312,37.690372467041016,-744.3440551757812|-0.9024266004562378,-2.3392741965722053e-08,0.43084362149238586|-1.7936100604742933e-08,1,1.6727017992934634e-08|Running
-776.6549682617188,37.71767807006836,-744.02587890625|-0.9030652046203613,1.9286620300817958e-08,0.42950350046157837|3.5429909672757276e-08,1,2.9589743988367445e-08|Running
-777.220458984375,37.74043273925781,-743.7606811523438|-0.9034929871559143,4.9365535659262605e-08,0.42860281467437744|7.488993247761755e-08,1,4.2689865864531384e-08|Running
-777.8991088867188,37.767738342285156,-743.4424438476562|-0.903906524181366,5.970709082703252e-08,0.4277300536632538|8.71360654741693e-08,1,4.455091939803424e-08|Running
-778.5776977539062,37.7950439453125,-743.124267578125|-0.9042350053787231,2.38041213407314e-08,0.4270351529121399|3.4088916578411954e-08,1,1.643955904739869e-08|Running
-779.1431884765625,37.81779861450195,-742.8590698242188|-0.9044526815414429,-7.588887740439532e-09,0.4265739917755127|-1.1378070929879414e-08,1,-6.334279767372664e-09|Running
-779.7086791992188,37.840553283691406,-742.5938720703125|-0.9046293497085571,-3.982036389515997e-08,0.4261991083621979|-5.755210708002778e-08,1,-2.8725917644578658e-08|Running
-780.7265625,37.88151168823242,-742.1165161132812|-0.9048842787742615,-5.284398696403514e-08,0.4256576597690582|-7.550102765208067e-08,1,-3.635715728478317e-08|Running
-781.63134765625,37.91791915893555,-741.6921997070312|-0.9050465822219849,-1.3906416462816651e-08,0.42531242966651917|-1.8726904471577654e-08,1,-7.153106551527344e-09|Running
-782.0826416015625,37.93612289428711,-741.4776611328125|-0.9048603773117065,5.126546742673099e-09,0.42570847272872925|9.24582987948952e-09,1,7.609992636048446e-09|Running
-782.7593994140625,37.96342849731445,-741.1553955078125|-0.9044481515884399,3.0935570549672775e-08,0.42658358812332153|4.876390491403981e-08,1,3.0870502598645544e-08|Running
-783.4361572265625,37.9907341003418,-740.8331298828125|-0.9040930867195129,5.336799091537614e-08,0.42733561992645264|8.526891548399362e-08,1,5.5513847740940037e-08|Running
