mount prambanan|true|43504
-1100.14013671875,22.033706665039062,904.81591796875|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1099.64208984375,21.778640747070312,904.859375|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1099.14404296875,21.509721755981445,904.90283203125|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1098.64599609375,21.48993492126465,904.9462890625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1098.14794921875,21.51914405822754,904.98974609375|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1097.64990234375,21.541372299194336,905.033203125|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1097.15185546875,21.554473876953125,905.07666015625|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1096.65380859375,21.561765670776367,905.1201171875|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1096.15576171875,21.56576156616211,905.16357421875|0.996231734752655,0,0.08673234283924103|0,1.0000001192092896,-0|Running
-1095.533203125,21.568309783935547,905.2178955078125|0.996670126914978,0,0.08154018968343735|0,1.0000001192092896,-0|Running
-1095.159423828125,21.569129943847656,905.2488403320312|0.9970852732658386,0,0.07629509270191193|0,1,-0|Running
-1094.660888671875,21.56977653503418,905.287353515625|0.9972191452980042,0,0.07452592253684998|0,1.0000001192092896,-0|Running
-1094.162353515625,21.570127487182617,905.3247680664062|0.9972191452980042,0,0.07452592253684998|0,1.0000001192092896,-0|Running
-1093.663818359375,21.57032012939453,905.3621215820312|0.9972191452980042,0,0.07452592253684998|0,1.0000001192092896,-0|Running
