wasabi|true|3418
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.9546773916422353e-08,-0.9988024234771729|6.156216869612763e-08,1,2.656664932487729e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.2092846663213095e-08,-0.9988024234771729|4.603147729653756e-08,1,1.9864536682234757e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.464210619417372e-08,-0.9988024234771729|3.050742947152685e-08,1,1.3165291079531016e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,7.194552065215021e-09,-0.9988024234771729|1.4990018115668136e-08,1,6.468909852230809e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.4981730573081506e-10,-0.9988024234771729|-5.207599351741976e-10,1,-2.2460801274437614e-10|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.4981730573081506e-10,-0.9988024234771729|-5.207599351741976e-10,1,-2.2460801274437614e-10|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-7.691004277887714e-09,-0.9988024234771729|-1.6024907623091167e-08,1,-6.9152639170511065e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.5129009156567008e-08,-0.9988024234771729|-3.1522429111419115e-08,1,-1.3603059123568073e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.2563833468325356e-08,-0.9988024234771729|-4.701332656509294e-08,1,-2.0287993507395186e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.999547987769802e-08,-0.9988024234771729|-6.249760531318316e-08,1,-2.6970070621246123e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.742394838468499e-08,-0.9988024234771729|-7.797526535568977e-08,1,-3.3649289576942465e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.484923721292944e-08,-0.9988024234771729|-9.344631024532646e-08,1,-4.032565570355473e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.484923721292944e-08,-0.9988024234771729|-9.344631024532646e-08,1,-4.032565570355473e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-5.2271357020572395e-08,-0.9988024234771729|-1.0891073998209322e-07,1,-4.699916189565556e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.389291063944256e-08,-0.9988024234771729|-9.14536855134429e-08,1,-3.946578530644729e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.551804539370096e-08,-0.9988024234771729|-7.400409174351807e-08,1,-3.193562747583201e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.7146763059704426e-08,-0.9988024234771729|-5.6561955119605045e-08,1,-2.440869018016656e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.8779058308382446e-08,-0.9988024234771729|-3.912727208899014e-08,1,-1.6884971643094104e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.8779058308382446e-08,-0.9988024234771729|-3.912727208899014e-08,1,-1.6884971643094104e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.0414932916091857e-08,-0.9988024234771729|-2.1700040875316517e-08,1,-9.364469200079384e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.0543833301189807e-09,-0.9988024234771729|-4.280257925870501e-09,1,-1.847183184189305e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,6.3025913377146026e-09,-0.9988024234771729|1.3132081200240009e-08,1,5.666888291955274e-09|Running
