yareu|true|1270
-815.4159545898438,40.0072021484375,-217.8302459716797|-0.044034406542778015,-1.1246063280623275e-07,0.9990299940109253|-4.734869385458751e-09,1,1.1236112129608955e-07|Running
-815.4304809570312,40.0072021484375,-217.16372680664062|-0.036525506526231766,-1.1408693723069518e-07,0.9993327260017395|-3.792166580751655e-09,1,1.140245089459313e-07|Running
-815.437744140625,40.0072021484375,-216.63046264648438|-0.03035278432071209,-1.0103624248358756e-07,0.9995392560958862|-2.6748747661287098e-09,1,1.0100158931436454e-07|Running
-815.4439697265625,40.0072021484375,-216.09715270996094|-0.0252738818526268,-1.0034363384647804e-07,0.9996805787086487|-2.1304529251864324e-09,1,1.0032183439534492e-07|Running
-815.447265625,40.0072021484375,-215.69715881347656|-0.0218149833381176,-1.0244774983902971e-07,0.9997619986534119|-1.75453707118578e-09,1,1.0243385162311824e-07|Running
-815.450439453125,40.0072021484375,-215.2971649169922|-0.019023297354578972,-1.0630008517864553e-07,0.9998190402984619|-1.5314228773988248e-09,1,1.0629018731833639e-07|Running
-815.453125,40.0072021484375,-214.7638397216797|-0.015195597894489765,-6.117333128941027e-08,0.9998845458030701|-5.552849291490247e-10,1,6.117195994193025e-08|Running
-815.4528198242188,40.0072021484375,-214.2305145263672|-0.010968952439725399,-7.975831550766088e-08,0.9999398589134216|-2.2519124065478735e-10,1,7.976064608783417e-08|Running
-815.4467163085938,40.0072021484375,-213.56385803222656|-0.004232155159115791,-1.1301070657054879e-07,0.9999910593032837|-2.0294953217980805e-10,1,1.1301086288995066e-07|Running
-815.4429931640625,40.0072021484375,-213.1638641357422|-0.0014119582483544946,-8.429601194848146e-08,0.9999989867210388|-7.208866142915937e-11,1,8.429599063219939e-08|Running
-815.4385986328125,40.0072021484375,-212.7638702392578|0.0011193876853212714,-4.829389155247554e-08,0.9999993443489075|1.777421543280866e-10,1,4.829372102221896e-08|Running
-815.4326782226562,40.0072021484375,-212.2305450439453|0.0038340431638062,-3.1699638469717684e-08,0.9999926686286926|6.833962840069319e-10,1,3.169725104612553e-08|Running
-815.4267578125,40.0072021484375,-211.6972198486328|0.005827483721077442,-3.733310549591806e-08,0.999983012676239|1.3751030314423929e-09,1,3.7325722956893514e-08|Running
-815.4208374023438,40.0072021484375,-211.1638946533203|0.007280035875737667,-5.480658060719179e-08,0.999973475933075|2.1935926408644946e-09,1,5.479206421910021e-08|Running
-815.4210205078125,40.0072021484375,-210.4972381591797|0.004841962829232216,-9.233268372099701e-08,0.9999882578849792|3.3959399736716023e-09,1,9.231732178704988e-08|Running
-815.422119140625,40.0072021484375,-210.0972442626953|0.003327889135107398,-1.270755944915436e-07,0.9999944567680359|4.228890126967144e-09,1,1.270622220772566e-07|Running
-815.423583984375,40.0072021484375,-209.5639190673828|0.0016976980259642005,-3.936744263910441e-08,0.9999985694885254|8.40771174903665e-10,1,3.9366071291624394e-08|Running
-815.4243774414062,40.0072021484375,-209.29725646972656|0.001088791061192751,1.117022252472566e-09,0.9999994039535522|-8.220592540020277e-10,1,-1.116127856803928e-09|Running
-815.4258422851562,40.0072021484375,-208.76393127441406|0.00006684988329652697,7.848733218907e-08,1|-4.114857787840265e-09,1,-7.848706218283041e-08|Running
-815.427734375,40.0072021484375,-208.09727478027344|-0.0008730036788620055,6.316260225958104e-08,0.9999996423721313|-2.9840663273716928e-09,1,-6.316523126770335e-08|Running
-815.4287109375,40.0072021484375,-207.03062438964844|-0.0008773506269790232,-7.853606120988843e-08,0.9999996423721313|4.36535474435118e-09,1,7.853991945694361e-08|Running
-815.4296875,40.0072021484375,-205.8550567626953|-0.000852997531183064,-5.310957362780755e-08,0.9999996423721313|2.7983013684007574e-09,1,5.3111982367681776e-08|Running
-815.4310302734375,40.0072021484375,-204.48011779785156|-0.0008362274966202676,4.221769600576408e-08,0.9999996423721313|-2.5356035049384218e-09,1,-4.221983118668504e-08|Running
-815.4324951171875,40.0072021484375,-202.98011779785156|-0.0008250583778135478,9.139991874462794e-08,0.9999996423721313|-5.224465748909779e-09,1,-9.140426016074343e-08|Running
-815.43359375,40.0072021484375,-201.85511779785156|-0.0008201068849302828,5.5724527214806585e-09,0.9999996423721313|-2.3268240112450655e-10,1,-5.5726454561977334e-09|Running
-815.43505859375,40.0072021484375,-200.35511779785156|-0.0008159620338119566,-1.0860765087272739e-07,0.9999996423721313|6.408150898806753e-09,1,1.0861290888897202e-07|Running
-815.4359130859375,40.0072021484375,-199.48011779785156|-0.0008144428138621151,-6.52603162620835e-08,0.9999996423721313|3.820404881338391e-09,1,6.526344975554821e-08|Running
-815.4345092773438,40.0072021484375,-198.85511779785156|-0.00038957069045864046,-2.155813128013051e-08,0.9999999403953552|1.2066917465247684e-09,1,2.155860201469295e-08|Running
-815.4142456054688,40.0072021484375,-197.73025512695312|0.004708144348114729,1.1828528378998726e-08,0.9999889135360718|-3.220594679831379e-09,1,-1.1813496847423721e-08|Running
-815.3603515625,40.0072021484375,-196.3563690185547|0.01704307086765766,-1.078537366083765e-07,0.9998547434806824|-7.658898515394696e-10,1,1.0788245674575592e-07|Running
-815.2987060546875,40.0072021484375,-195.4835968017578|0.029218129813671112,-1.206312560952938e-07,0.9995730519294739|4.042699952577777e-09,1,1.205646071866795e-07|Running
-815.246826171875,40.0072021484375,-194.86074829101562|0.038432713598012924,-1.3207599636189116e-07,0.999261200428009|5.152821280773878e-09,1,1.319754545647811e-07|Running
-815.1727905273438,40.0072021484375,-194.11444091796875|0.05052252858877182,-1.4160505656946043e-07,0.9987229108810425|6.865592094840167e-09,1,1.41438817991002e-07|Running
-814.9718627929688,40.0072021484375,-192.12449645996094|0.07765331864356995,-1.3648329399984505e-07,0.9969804286956787|1.0543759643155681e-08,1,1.3607542825866403e-07|Running
-814.8533935546875,40.0072021484375,-190.37852478027344|0.07512326538562775,3.572486306779865e-08,0.9971742630004883|-9.292020486384445e-10,1,-3.5756098526462665e-08|Running
-814.8322143554688,40.0072021484375,-189.62887573242188|0.06670178472995758,-2.3626327561032667e-08,0.9977729320526123|4.404101083821388e-09,1,2.3384643554891227e-08|Running
-814.831298828125,40.0072021484375,-188.87889099121094|0.053942497819662094,-1.2294093210130086e-07,0.9985440373420715|8.478294510894102e-09,1,1.2266218618606217e-07|Running
