Mt Forever|true|20028
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7080674171447754,0,0.7061448097229004|-1.1644861741544332e-09,1,-1.1676566380458553e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|3.6002278935853838e-09,1.0000001192092896,3.5849214707894816e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|8.364943404615133e-09,1.0000001192092896,8.32938074069034e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|1.3125584175099902e-08,1.0000001192092896,1.3069780813168563e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055986523628235,0,0.708611786365509|1.7882165082028223e-08,1.0000001192092896,1.7806128127517695e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|1.672104588124057e-08,1.0000001192092896,1.6649956080527772e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|9.64982493911748e-09,1.0000001192092896,9.608799089733111e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|2.5846547124785957e-09,1.0000001192092896,2.573665947025461e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-4.474473680460278e-09,1.0000001192092896,-4.455450230977931e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-1.152756556876966e-08,1.0000001192092896,-1.1478556771749027e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-1.8574626281520068e-08,1.0000001192092896,-1.849565656186769e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-1.2425527273762782e-08,1.0000001192092896,-1.2372700197715858e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-8.739220014319926e-09,1.0000001192092896,-8.70206484648861e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7055988907814026,0,0.7086115479469299|-3.827822059321306e-09,1.0000001192092896,-3.811547966137141e-09|Running
