yahayuk zepetto|false|12018
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-7.4330426258484295e-09,-0.9706012010574341|1.7011590358606554e-08,1,-3.439585949394086e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-7.426693038325993e-09,-0.9706012010574341|1.6997054430589742e-08,1,-3.4366491874493477e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-7.420353220766174e-09,-0.9706012010574341|1.6982529160713966e-08,1,-3.433718864798152e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-9.266528877560631e-09,-0.9706012010574341|2.1207755551699847e-08,1,-4.288026822507618e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-7.406102842111295e-09,-0.9706012010574341|1.6949892156503665e-08,1,-3.4271305793254214e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-5.5504254525828856e-09,-0.9706012010574341|1.2702914276019328e-08,1,-2.5684276927506744e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-5.546872294814875e-09,-0.9706012010574341|1.2694771456267517e-08,1,-2.5667856728972538e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.4530088007450104,-1.3387135844311615e-08,-0.891506016254425|2.1139880956866364e-08,1,-4.274321785402435e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.7148887515068054,-1.4467230080583704e-08,-0.6992381811141968|1.689564577134206e-08,1,-3.4161782291874943e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.8253803849220276,-2.774693719231891e-08,-0.5645769834518433|2.95326554322628e-08,1,-5.971303895790925e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.9083402156829834,-5.433919980646351e-08,-0.4182320833206177|5.4727550491406873e-08,1,-1.1065544036625852e-08|Running
