Replay 1|true|798
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,4.386971852454735e-08,-1|1.7415514363960938e-08,1,4.386971852454735e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-4.654519880631369e-09,-1|-1.8478223395845816e-09,1,-4.654519880631369e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-5.312690731784642e-08,-1|-2.1090587054573007e-08,1,-5.312690731784642e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-8.815641905357552e-08,-1|-3.4996741504755846e-08,1,-8.815641905357552e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-5.470374375704523e-08,-1|-2.1716525466786152e-08,1,-5.470374375704523e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-2.1286817641907874e-08,-1|-8.450491861822229e-09,1,-2.1286817641907874e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,1.8766360909694413e-08,-1|7.450047689872008e-09,1,1.8766360909694413e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,5.2104780934314476e-08,-1|2.0684931101300208e-08,1,5.21047773816008e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,8.540757789887721e-08,-1|3.390567826500046e-08,1,8.540757079344985e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,1.1202418903621947e-07,-1|4.447210955049741e-08,1,1.1202418903621947e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,5.3644640729544335e-08,-1|2.129618614787887e-08,1,5.3644637176830656e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-4.660058117167409e-09,-1|-1.850039899053968e-09,1,-4.660058117167409e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-5.319019891203425e-08,-1|-2.11159019158913e-08,1,-5.319019891203425e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-1.016684834098669e-07,-1|-4.036118994577009e-08,1,-1.016684834098669e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-6.146457565137098e-08,-1|-2.44006894689619e-08,1,-6.146457565137098e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-2.131220888657026e-08,-1|-8.460642852980982e-09,1,-2.131220888657026e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,1.2108769098517769e-08,-1|4.807124032168986e-09,1,1.2108769098517769e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,5.2166804209718975e-08,-1|2.070974147727611e-08,1,5.2166804209718975e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,8.550927077521919e-08,-1|3.3946356836622726e-08,1,8.550927077521919e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,7.318320882632179e-08,-1|2.905301599298582e-08,1,7.318320882632179e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,5.0582160682211e-09,-1|2.0080286322610164e-09,1,5.0582160682211e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-5.3253533138786224e-08,-1|-2.1141209671782235e-08,1,-5.3253533138786224e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,-1.0178953857575834e-07,-1|-4.0409581458789035e-08,1,-1.0178953857575834e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,-6.824279807915445e-08,-1|-2.7091797250022864e-08,1,-6.824279807915445e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,-3.473190801628334e-08,-1|-1.3788237218648192e-08,1,-3.473190801628334e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-1.2568254215139518e-09,-1|-4.988836566077737e-10,1,-1.2568254215139518e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,3.886606236847001e-08,-1|1.5429607813643997e-08,1,3.886606236847001e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,7.226250176017857e-08,-1|2.86877597233115e-08,1,7.226250176017857e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,9.277655976802635e-08,-1|3.683169325086055e-08,1,9.277655976802635e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,3.428292316698389e-08,-1|1.3610073956726865e-08,1,3.428292316698389e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,-1.440448293976715e-08,-1|-5.718543416577404e-09,1,-1.440448293976715e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,-6.303986310740584e-08,-1|-2.5026517747051003e-08,1,-6.303986310740584e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660025211837e-08,-9.519052923678828e-08,-1|-3.779015855798207e-08,1,-9.519052923678828e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660025211837e-08,-4.818926413463487e-08,-1|-1.9130872885853023e-08,1,-4.818926413463487e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,-7.958422365561546e-09,-1|-3.1593991867140403e-09,1,-7.958422365561546e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,3.222083932996611e-08,-1|1.2791608661189002e-08,1,3.222083932996611e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,7.23485840126159e-08,-1|2.872217663707488e-08,1,7.23485840126159e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660025211837e-08,1.0574906639249093e-07,-1|4.198205516559028e-08,1,1.0574906639249093e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660025211837e-08,7.335761864624146e-08,-1|2.912273977528912e-08,1,7.33576115408141e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660025211837e-08,1.4819324434256487e-08,-1|5.8832019256271906e-09,1,1.4819324434256487e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660025211837e-08,-7.284740632940157e-08,-1|-2.8920279504518476e-08,1,-7.284740632940157e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659669940469e-08,-6.840546262765201e-08,-1|-2.715682434484279e-08,1,-6.840546262765201e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659669940469e-08,-2.138841814769421e-08,-1|-8.491122471809831e-09,1,-2.138841814769421e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660025211837e-08,3.2259247717547623e-08,-1|1.2806944837961964e-08,1,3.2259244164833945e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660025211837e-08,7.912572641544102e-08,-1|3.141290605412905e-08,1,7.912572641544102e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659669940469e-08,1.0277727824359317e-07,-1|4.0802554224228516e-08,1,1.0277727113816582e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659669940469e-08,3.436466755601941e-08,-1|1.3642752705322891e-08,1,3.436466755601941e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659669940469e-08,-1.4438818141115917e-08,-1|-5.732247121414957e-09,1,-1.4438818141115917e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659669940469e-08,-6.319015710687381e-08,-1|-2.5086555055509052e-08,1,-6.319015710687381e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659314669101e-08,-9.541748369201741e-08,-1|-3.7880823811065056e-08,1,-9.541748369201741e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659314669101e-08,-4.830415178957992e-08,-1|-1.9176781052010483e-08,1,-4.830415178957992e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659669940469e-08,-1.2612831890024268e-09,-1|-5.006988712530358e-10,1,-1.2612831890024268e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659669940469e-08,4.5711228580103125e-08,-1|1.814746752870633e-08,1,4.5711228580103125e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659314669101e-08,9.930807465252656e-08,-1|3.942552240232544e-08,1,9.930807465252656e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659314669101e-08,6.374767025363326e-08,-1|2.53079601719719e-08,1,6.374767025363326e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659314669101e-08,1.485467659989581e-08,-1|5.897316857073065e-09,1,1.485467659989581e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659314669101e-08,-3.3986076175551716e-08,-1|-1.3492598149866808e-08,1,-3.3986076175551716e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659314669101e-08,-8.277464047523608e-08,-1|-3.286180572104058e-08,1,-8.277464047523608e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460658959397733e-08,-8.20470020812536e-08,-1|-3.2572927466389956e-08,1,-8.20470020812536e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460658959397733e-08,-4.162898648019109e-08,-1|-1.6526824353491065e-08,1,-4.162898648019109e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659314669101e-08,5.459879215408137e-09,-1|2.167642509931511e-09,1,5.459879215408137e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659314669101e-08,6.589922918465163e-08,-1|2.616233096830456e-08,1,6.589922918465163e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460658959397733e-08,1.0612756540240298e-07,-1|4.213317339463174e-08,1,1.0612755829697562e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659314669101e-08,6.382363437751337e-08,-1|2.5338296794075177e-08,1,6.382363437751337e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659314669101e-08,1.4872364673124139e-08,-1|5.90438054004494e-09,1,1.4872364673124139e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460659314669101e-08,-4.380012086357965e-08,-1|-1.7388924078431955e-08,1,-4.380011731086597e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460658959397733e-08,-1.0239737946449168e-07,-1|-4.065238101702562e-08,1,-1.0239737946449168e-07|Running
-305.7794494628906,15.687387466430664,58.95014190673828|-0.19131214916706085,0.0001124079863075167,-0.9815292358398438|0.000013201746696722694,1,0.00011195013939868659|Running
-306.3045654296875,15.687387466430664,58.76040267944336|-0.39329782128334045,0.0001597796508576721,-0.9194111227989197|0.000044674092350760475,1,0.0001546744751976803|Running
-307.4017333984375,15.687386512756348,58.30229187011719|-0.6024381518363953,0.00007931996515253559,-0.7981655597686768|0.00004409689427120611,1,0.00006609444972127676|Running
-308.37506103515625,15.687385559082031,57.86626052856445|-0.7121478319168091,0.000036871009797323495,-0.7020295262336731|0.00002540884270274546,1,0.00002674553616088815|Running
-309.22027587890625,15.687385559082031,57.470584869384766|-0.7702292799949646,0.00001752552816469688,-0.6377671360969543|0.000013317139746504836,1,0.00001139644518843852|Running
