runia|false|23720
969.9491577148438,117.22482299804688,-982.4818115234375|0.8654031157493591,1.7200815705109562e-07,0.5010762810707092|-1.486192218180804e-07,1,-8.659880990080637e-08|Running
970.1683349609375,117.22482299804688,-982.3617553710938|0.866232693195343,1.4867788422634476e-07,0.4996407926082611|-1.2859594278324948e-07,1,-7.462133311264552e-08|Running
970.3875122070312,117.22482299804688,-982.24169921875|0.8670018315315247,1.538400908884796e-07,0.49830496311187744|-1.332268766418565e-07,1,-7.692506898138163e-08|Running
970.6067504882812,117.22482299804688,-982.1215209960938|0.867715060710907,1.356461467594272e-07,0.49706196784973145|-1.1756623763403695e-07,1,-6.766187965467907e-08|Running
970.825927734375,117.22482299804688,-982.0013427734375|0.8683764934539795,1.3308498125752521e-07,0.49590545892715454|-1.1545305511617698e-07,1,-6.619862347179151e-08|Running
971.0451049804688,117.22482299804688,-981.8811645507812|0.8689901232719421,1.3469491477735573e-07,0.4948294758796692|-1.1694786650195965e-07,1,-6.682783038058915e-08|Running
971.2643432617188,117.22482299804688,-981.760986328125|0.8695593476295471,1.3354100758533605e-07,0.4938284158706665|-1.1602849525615966e-07,1,-6.61106938082412e-08|Running
971.4835205078125,117.22482299804688,-981.640869140625|0.8700875639915466,1.2689680772837164e-07,0.4928971827030182|-1.1032443580916151e-07,1,-6.270048658052474e-08|Running
971.7027587890625,117.22482299804688,-981.5206909179688|0.8705777525901794,1.3129302089964767e-07,0.49203091859817505|-1.1422620360690416e-07,1,-6.473217695202038e-08|Running
971.9219970703125,117.22482299804688,-981.4005126953125|0.8710326552391052,1.222772709752462e-07,0.49122506380081177|-1.064399910433167e-07,1,-6.018537135332735e-08|Running
972.1411743164062,117.22482299804688,-981.2803344726562|0.8714549541473389,1.1759708939962366e-07,0.49047553539276123|-1.0242143844152451e-07,1,-5.778354150720588e-08|Running
972.3604125976562,117.22482299804688,-981.1602172851562|0.8718469738960266,1.1419788847888412e-07,0.4897783398628235|-9.951700974397681e-08,1,-5.601367192298312e-08|Running
972.57958984375,117.22482299804688,-981.0400390625|0.8722109198570251,1.2764355972194608e-07,0.489129900932312|-1.112999328256592e-07,1,-6.249165807048485e-08|Running
972.798828125,117.22482299804688,-980.919921875|0.8725488781929016,1.1580844727632211e-07,0.4885267913341522|-1.0101827996322754e-07,1,-5.662956326091262e-08|Running
973.01806640625,117.22482299804688,-980.7997436523438|0.872862696647644,1.1656549503413771e-07,0.487965852022171|-1.0172349362846944e-07,1,-5.691966364906875e-08|Running
973.2373046875,117.22482299804688,-980.6796264648438|0.8731541633605957,1.2820089523302158e-07,0.4874441921710968|-1.119255088610771e-07,1,-6.251519124589322e-08|Running
973.4564819335938,117.22482299804688,-980.5594482421875|0.8734248280525208,1.1115517395410279e-07,0.4869590401649475|-9.707023451710484e-08,1,-5.415572701394922e-08|Running
973.6757202148438,117.22482299804688,-980.4393310546875|0.8736761808395386,1.0224333379937889e-07,0.4865078628063202|-8.931922934607428e-08,1,-4.97571654989315e-08|Running
973.8949584960938,117.22482299804688,-980.3191528320312|0.8739097118377686,1.0035977027200715e-07,0.4860883057117462|-8.7709757679022e-08,1,-4.8775831373859546e-08|Running
974.1141967773438,117.22482299804688,-980.1990356445312|0.8770846724510193,1.0259265081913327e-07,0.4803358018398285|-9.000858369745401e-08,1,-4.923119334421244e-08|Running
974.3334350585938,117.22482299804688,-980.0789184570312|0.8770153522491455,1.0547353213041788e-07,0.48046237230300903|-9.25571654875057e-08,1,-5.0575202692471066e-08|Running
974.5526733398438,117.22482299804688,-979.9588012695312|0.8769910335540771,1.0842816777767439e-07,0.48050668835639954|-9.517743393416822e-08,1,-5.1941853485004685e-08|Running
974.7719116210938,117.22482299804688,-979.8386840820312|0.8747929334640503,1.1138987332515171e-07,0.48449698090553284|-9.757000185572906e-08,1,-5.37388800125882e-08|Running
974.99072265625,117.22482299804688,-979.7178344726562|0.8747907876968384,1.1435128755010737e-07,0.4845008850097656|-1.0019999052701678e-07,1,-5.5102599816336806e-08|Running
975.20947265625,117.22482299804688,-979.5967407226562|0.8747900128364563,1.173115506958311e-07,0.48450228571891785|-1.028292260230046e-07,1,-5.646531775482799e-08|Running
975.42822265625,117.22482299804688,-979.4756469726562|0.8747889995574951,1.2027055618091254e-07,0.4845040738582611|-1.0545735307232462e-07,1,-5.782743883742114e-08|Running
975.64697265625,117.22482299804688,-979.3545532226562|0.8747888207435608,1.2322830400535167e-07,0.4845044016838074|-1.0808446404553251e-07,1,-5.918878187571863e-08|Running
975.86572265625,117.22482299804688,-979.2334594726562|0.8747900128364563,1.2618478706372116e-07,0.48450228571891785|-1.1071062289147449e-07,1,-6.054923318288274e-08|Running
976.08447265625,117.22482299804688,-979.1123657226562|0.8747897744178772,1.29140005356021e-07,0.4845027029514313|-1.1333549565506473e-07,1,-6.190941803652095e-08|Running
976.30322265625,117.22482299804688,-978.9912719726562|0.8747898936271667,1.3209395888225117e-07,0.48450249433517456|-1.1595928128826927e-07,1,-6.326893497998753e-08|Running
976.52197265625,117.22482299804688,-978.8701782226562|0.8747889399528503,1.3504666185326641e-07,0.48450416326522827|-1.1858181636625886e-07,1,-6.462813217922303e-08|Running
976.74072265625,117.22482299804688,-978.7490844726562|0.8747884631156921,1.37998100058212e-07,0.4845049977302551|-1.2120329984099953e-07,1,-6.598663304657748e-08|Running
976.9320678710938,117.22482299804688,-978.6431274414062|0.8747904300689697,1.06181154535534e-07,0.484501451253891|-9.327585104301761e-08,1,-5.0741491008921e-08|Running
977.13818359375,117.22482299804688,-978.5289916992188|0.8747887015342712,7.437780880081846e-08,0.4845045804977417|-6.535990593192764e-08,1,-3.5503692430438605e-08|Running
977.3551635742188,117.22482299804688,-978.4088134765625|0.8747885823249817,4.2588062854065356e-08,0.4845047891139984|-3.7456068469055026e-08,1,-2.0272084455541517e-08|Running
977.5736083984375,117.22482299804688,-978.2877807617188|0.8747885823249817,1.0811906925312087e-08,0.4845047891139984|-9.5641690123216e-09,1,-5.046968176714017e-09|Running
977.792236328125,117.22482299804688,-978.1666870117188|0.8747885823249817,-2.0950666979047128e-08,0.4845047891139984|1.8315803984592094e-08,1,1.0171643971546018e-08|Running
978.010986328125,117.22482299804688,-978.0455932617188|0.8747900724411011,-5.269966152354755e-08,0.4845021069049835|4.61838887133581e-08,1,2.5383698698533408e-08|Running
978.229736328125,117.22482299804688,-977.9244995117188|0.8747904300689697,-8.443509358357915e-08,0.4845014810562134|7.404004520594754e-08,1,4.0589274163949085e-08|Running
978.448486328125,117.22482299804688,-977.8034057617188|0.8747894167900085,-9.735857275927629e-08,0.4845033586025238|8.539268492313568e-08,1,4.676532938674427e-08|Running
978.667236328125,117.22482299804688,-977.6823120117188|0.8747900128364563,-9.148215696086481e-08,0.48450231552124023|8.025261166721975e-08,1,4.3917189884723484e-08|Running
978.885986328125,117.22482299804688,-977.5612182617188|0.872582197189331,-8.560830622172944e-08,0.48846736550331116|7.491453857255692e-08,1,4.143412368762256e-08|Running
979.1043090820312,117.22482299804688,-977.4393920898438|0.8703563809394836,-7.973714133413523e-08,0.49242234230041504|6.95899871061556e-08,1,3.8928071433019795e-08|Running
