Mount Anora|true|17490
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9649467468261719,0,-0.26244598627090454|-3.832775874457184e-09,1.0000001192092896,-1.4092137234911206e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9371644258499146,0,-0.3488883376121521|4.911065776269652e-09,1.0000001192092896,1.3191831627068495e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9105252623558044,0,-0.41345342993736267|1.757437750882218e-08,1,3.8703063864886644e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8884408473968506,0,-0.4589911699295044|3.24334052947961e-08,1,6.27793426133394e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8701373934745789,0,-0.4928092956542969|4.856869395553076e-08,1.0000001192092896,8.575617016504111e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|4.7196731856047336e-08,1,8.037553556050625e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|2.7732017571224787e-08,1,4.7227334931676523e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|8.284024133331513e-09,1,1.4107605750268704e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|-1.1147405665212773e-08,1,-1.898391488452944e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|-3.0562262054445455e-08,1,-5.204721276186319e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|-4.996046953920086e-08,1,-8.508215643132644e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|-4.3307171182505044e-08,1,-7.375165722578458e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|-2.7984752293264137e-08,1,-4.7657739088435846e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|-1.2675533511696813e-08,1,-2.158629897053288e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|2.6206741221557195e-09,1,4.4629806517093584e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|1.7903811766473154e-08,1,3.049000341093233e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|3.3173851221590667e-08,1,5.6494720013233746e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|4.843095169348999e-08,1,8.247739913258556e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|4.687612431553134e-08,1,7.982954741692083e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8623231053352356,0,-0.5063584446907043|2.8531250251262463e-08,1,4.858841862187546e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8631805777549744,0,-0.5048953294754028|1.01579553657416e-08,1,1.7366271976015923e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-8.107031490567351e-09,1,-1.3914057461761331e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-2.6326782531782555e-08,1,-4.5184524566366235e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-4.4530970910727774e-08,1,-7.642827881682024e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-4.589730551174398e-08,1,-7.877331142935873e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-3.0447338872363616e-08,1,-5.2256613258805373e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-1.5010574117013675e-08,1,-2.576257074338173e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|4.13014317190985e-10,1,7.088544196065527e-10|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|1.582343323036639e-08,1,2.715767877248254e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|3.122068648053755e-08,1,5.358391064191892e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|4.660480001916767e-08,1,7.998757922678124e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|4.557893618084563e-08,1,7.822689696013185e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|2.816411459605206e-08,1,4.8337927438524275e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|1.0764162006182687e-08,1,1.847447705927152e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.8640356063842773,0,-0.5034307241439819|-6.620930914635892e-09,1,-1.1363470164837963e-08|Running
