1|true|1376
290.89569091796875,21.899084091186523,179.70822143554688|0.5002438426017761,1.1914084296904548e-07,0.86588454246521|-5.9372649019451273e-08,1,-1.0329325306202009e-07|Running
291.1573791503906,21.899150848388672,180.11456298828125|0.5060182809829712,1.1051324122490769e-07,0.8625227808952332|-5.577873452011772e-08,1,-9.540406864516626e-08|Running
291.4209289550781,21.899187088012695,180.5197296142578|0.5114787817001343,1.2467612009459117e-07,0.8592959046363831|-6.369504035319551e-08,1,-1.0717781151470263e-07|Running
291.6187744140625,21.899202346801758,180.82347106933594|0.5151613354682922,1.1074508421415885e-07,0.8570932149887085|-5.690713322792362e-08,1,-9.500568154408029e-08|Running
291.9485168457031,21.899215698242188,181.32968139648438|0.5205226540565491,1.1764423391014134e-07,0.853847861289978|-6.10650658927625e-08,1,-1.0055477872583651e-07|Running
292.2123107910156,21.899221420288086,181.73464965820312|0.5241531133651733,9.692553248896729e-08,0.851624071598053|-5.066979014145545e-08,1,-8.262661310709518e-08|Running
292.4761047363281,21.899221420288086,182.13961791992188|0.5272353887557983,9.785447474541797e-08,0.8497192859649658|-5.1616826368672264e-08,1,-8.313364219247887e-08|Running
292.7398986816406,21.899221420288086,182.54457092285156|0.5298725962638855,1.1458539006525825e-07,0.8480772376060486|-6.091982385214578e-08,1,-9.704969983204137e-08|Running
293.0036926269531,21.899221420288086,182.9495391845703|0.5321328639984131,9.082225460588234e-08,0.846660852432251|-4.852047652548208e-08,1,-7.677562763319656e-08|Running
293.2674865722656,21.899221420288086,183.35450744628906|0.5340710878372192,5.829553373359886e-08,0.845439612865448|-3.137788340268344e-08,1,-4.913126616656882e-08|Running
293.5312805175781,21.899221420288086,183.7594757080078|0.5357335209846497,3.212624477555437e-08,0.8443871140480042|-1.7606792468427557e-08,1,-2.6875939695969464e-08|Running
293.7950744628906,21.899221420288086,184.16444396972656|0.53715980052948,1.064926280491818e-08,0.8434804677963257|-6.332678381681944e-09,1,-8.592495603920725e-09|Running
294.05889892578125,21.899221420288086,184.5694122314453|0.5383836030960083,-7.363888610001368e-09,0.8426998853683472|3.0928934968699195e-09,1,6.762461257636687e-09|Running
294.32269287109375,21.899221420288086,184.97438049316406|0.5394338369369507,-2.2819953926500602e-08,0.842028021812439|1.115034553578198e-08,1,1.9957862917863167e-08|Running
294.58648681640625,21.899221420288086,185.3793487548828|0.5403352379798889,-3.638763956814728e-08,0.8414498567581177|1.8195727591319155e-08,1,3.1559629576349835e-08|Running
294.85028076171875,21.899221420288086,185.78431701660156|0.5411089658737183,-4.856035573652662e-08,0.8409525156021118|2.449244362878744e-08,1,4.198486536211021e-08|Running
295.11407470703125,21.899221420288086,186.1892852783203|0.5417732000350952,-5.970196781390769e-08,0.8405247330665588|3.0235071335482644e-08,1,5.154091908821101e-08|Running
295.37786865234375,21.899221420288086,186.59425354003906|0.5423433780670166,-7.008101476912998e-08,0.8401569128036499|3.5567726541785305e-08,1,6.045429756795784e-08|Running
295.64166259765625,21.899221420288086,186.9992218017578|0.5428330302238464,-7.989566341848331e-08,0.8398406505584717|4.059701907976887e-08,1,6.889194992254488e-08|Running
295.90545654296875,21.899221420288086,187.40419006347656|0.5432534217834473,-8.929208661356824e-08,0.8395687937736511|4.540135023489711e-08,1,7.697719439647699e-08|Running
296.16925048828125,21.899221420288086,187.8091583251953|0.5436143279075623,-9.837820869051939e-08,0.8393351435661316|5.0038995169643385e-08,1,8.480080282424751e-08|Running
296.43304443359375,21.899221420288086,188.21412658691406|0.5439242720603943,-1.07233553592323e-07,0.8391343355178833|5.455290974509808e-08,1,9.242966569900091e-08|Running
296.69683837890625,21.899221420288086,188.6190948486328|0.5441904067993164,-1.1591678372724346e-07,0.8389617204666138|5.897462784787422e-08,1,9.991320837343665e-08|Running
296.96063232421875,21.899221420288086,189.02406311035156|0.54441899061203,-1.2447121378045267e-07,0.8388134241104126|6.332750501769624e-08,1,1.0728788879532658e-07|Running
297.22442626953125,21.899221420288086,189.4290313720703|0.5446152687072754,-1.3292881817505986e-07,0.8386859893798828|6.762871862520115e-08,1,1.1458065074521073e-07|Running
297.48822021484375,21.899221420288086,189.83399963378906|0.5447838306427002,-1.0624007984461059e-07,0.8385764956474304|5.404757885685285e-08,1,9.157879787835554e-08|Running
297.75201416015625,21.899221420288086,190.2389678955078|0.5449286103248596,-4.4468055904189896e-08,0.8384824395179749|2.2612002936739373e-08,1,3.8338463070886064e-08|Running
298.01580810546875,21.899221420288086,190.64393615722656|0.5450528860092163,1.7286303943819803e-08,0.8384016752243042|-8.820880026405575e-09,1,-1.4883626775485936e-08|Running
298.27960205078125,21.899221420288086,191.0489044189453|0.545159637928009,7.901373066943052e-08,0.8383322358131409|-4.024527910928555e-08,1,-6.807996300040031e-08|Running
298.54339599609375,21.899221420288086,191.45387268066406|0.5452513694763184,8.70032366151463e-08,0.8382725715637207|-4.430706823654873e-08,1,-7.49693427337661e-08|Running
298.80718994140625,21.899221420288086,191.8588409423828|0.5453301668167114,7.710668370464191e-08,0.8382213711738586|-3.9260594775214486e-08,1,-6.644629024776805e-08|Running
299.07257080078125,21.899221420288086,192.26280212402344|0.5457478761672974,6.73661872951925e-08,0.8379494547843933|-3.429851602732015e-08,1,-5.805582148354915e-08|Running
299.34130859375,21.899221420288086,192.66453552246094|0.5469618439674377,5.911752154474925e-08,0.8371575474739075|-3.01498452870419e-08,1,-5.091838062298848e-08|Running
299.61981201171875,21.899221420288086,193.05953979492188|0.5504342913627625,6.296123444826662e-08,0.8348785042762756|-3.264189984975019e-08,1,-5.38928901505642e-08|Running
299.9044494628906,21.899221420288086,193.45016479492188|0.5554354786872864,1.048791560265272e-07,0.8315596580505371|-5.6212638099850665e-08,1,-8.857652744609368e-08|Running
300.1958923339844,21.899221420288086,193.8357391357422|0.5617213845252991,1.128670348293781e-07,0.8273264765739441|-6.196806623393059e-08,1,-9.434999270752087e-08|Running
300.4972229003906,21.899221420288086,194.21363830566406|0.5698701739311218,1.2819134553865297e-07,0.8217347264289856|-7.218107356266046e-08,1,-1.0594355615012319e-07|Running
300.8058166503906,21.899221420288086,194.58560180664062|0.5792149901390076,1.384509147328572e-07,0.8151748180389404|-7.942967528151712e-08,1,-1.1340397065850993e-07|Running
301.1197204589844,21.899221420288086,194.953125|0.5889635682106018,1.3021501388266188e-07,0.808159589767456|-7.580909056059681e-08,1,-1.0587787357962952e-07|Running
301.43719482421875,21.899221420288086,195.3175506591797|0.5985111594200134,1.3367815654419246e-07,0.8011144399642944|-7.907436838650028e-08,1,-1.0778892800544781e-07|Running
301.7565612792969,21.899221420288086,195.68032836914062|0.6073653101921082,1.371035835973089e-07,0.7944226264953613|-8.242742666197955e-08,1,-1.0956386375937655e-07|Running
302.0761413574219,21.899221420288086,196.04286193847656|0.6151207089424133,1.2686625439073396e-07,0.7884329557418823|-7.73545423271571e-08,1,-1.0055879329229356e-07|Running
302.3957214355469,21.899221420288086,196.40541076660156|0.6217690706253052,1.3177576363432308e-07,0.7832006216049194|-8.146720631430071e-08,1,-1.0357750568346091e-07|Running
302.71533203125,21.899221420288086,196.76795959472656|0.627449631690979,1.248131837883193e-07,0.7786571383476257|-7.805608959188248e-08,1,-9.739449069456896e-08|Running
303.034912109375,21.899221420288086,197.1304931640625|0.6323031783103943,1.0908382108709702e-07,0.7747210264205933|-6.888915748959334e-08,1,-8.457881506274134e-08|Running
303.3544921875,21.899221420288086,197.4930419921875|0.6364523768424988,1.047344966309538e-07,0.7713159918785095|-6.669785790336391e-08,1,-8.075092949866303e-08|Running
303.674072265625,21.899221420288086,197.8555908203125|0.6400015354156494,9.941658163370448e-08,0.7683736085891724|-6.378900252457242e-08,1,-7.62539471566015e-08|Running
303.99365234375,21.899221420288086,198.2181396484375|0.6430391073226929,1.1973870073234139e-07,0.7658333778381348|-7.731787832199188e-08,1,-9.143018786517132e-08|Running
304.314697265625,21.899221420288086,198.5794677734375|0.6459589600563049,8.972173759502766e-08,0.7633721232414246|-5.813148362676657e-08,1,-6.83430556591702e-08|Running
304.635986328125,21.899221420288086,198.94053649902344|0.6486008167266846,7.85087834742626e-08,0.7611287236213684|-5.107434475348782e-08,1,-5.962450444485512e-08|Running
304.957275390625,21.899221420288086,199.30162048339844|0.6508869528770447,8.196734313514753e-08,0.759174644947052|-5.35381126098855e-08,1,-6.206751379522757e-08|Running
305.2785949707031,21.899221420288086,199.66270446777344|0.6528496742248535,9.635725461976108e-08,0.7574875354766846|-6.313411660130441e-08,1,-7.27935045574668e-08|Running
305.5998840332031,21.899221420288086,200.02378845214844|0.6545326113700867,1.188182210398736e-07,0.7560337781906128|-7.802307777637907e-08,1,-8.961183795008765e-08|Running
305.9211730957031,21.899221420288086,200.38487243652344|0.6559756398200989,9.301027148467256e-08,0.7547820806503296|-6.1153635044775e-08,1,-7.007979974105183e-08|Running
306.2424621582031,21.899221420288086,200.74595642089844|0.6572132110595703,5.356102050768641e-08,0.7537047266960144|-3.527900105382287e-08,1,-4.030118816444883e-08|Running
306.5637512207031,21.899221420288086,201.10704040527344|0.65827476978302,1.7392155271522824e-08,0.7527777552604675|-1.1539388111714288e-08,1,-1.3013226940472578e-08|Running
306.8850402832031,21.899221420288086,201.46812438964844|0.6591854691505432,-1.6350236720086286e-08,0.7519803643226624|1.0619609192019652e-08,1,1.2433761575891822e-08|Running
307.2063293457031,21.899221420288086,201.82920837402344|0.6599669456481934,-4.829652766602521e-08,0.7512946128845215|3.160842609872816e-08,1,3.651831192996724e-08|Running
307.5276184082031,21.960247039794922,202.19029235839844|0.6606375575065613,-7.89117251542848e-08,0.7507050037384033|5.17302254365859e-08,1,5.959304516522934e-08|Running
307.8489074707031,22.140838623046875,202.55137634277344|0.6612131595611572,-1.0853920429099162e-07,0.7501981258392334|7.120921452496987e-08,1,8.19180101530037e-08|Running
308.1701965332031,22.35483741760254,202.91246032714844|0.6617072224617004,-1.0150554885512975e-07,0.7497622966766357|6.662286722303179e-08,1,7.658522349629493e-08|Running
308.4914855957031,22.566343307495117,203.27354431152344|0.6621313691139221,-5.804400871056714e-08,0.749387800693512|3.8110488986831115e-08,1,4.3782218739352174e-08|Running
308.8127746582031,22.712200164794922,203.63462829589844|0.6624954342842102,-1.4233960676790502e-08,0.7490659356117249|9.357171038004708e-09,1,1.0726528998361573e-08|Running
309.1340637207031,22.796476364135742,203.99571228027344|0.6628081202507019,2.9823226554981375e-08,0.7487893104553223|-1.956861339635907e-08,1,-2.2506990049464548e-08|Running
309.4553527832031,22.84313201904297,204.35679626464844|0.6630765199661255,7.405269286664407e-08,0.7485516667366028|-4.861617952656161e-08,1,-5.586314699712602e-08|Running
309.7766418457031,22.8686580657959,204.71788024902344|0.6633069515228271,1.0073637213281472e-07,0.7483474016189575|-6.614831704609969e-08,1,-7.598039530876122e-08|Running
