Mt Sangkala|true|40121
-850.9475708007812,249.15513610839844,-294.7095031738281|0.04968191310763359,0,-0.9987651109695435|-1.3478731375471398e-07,1.0000001192092896,-6.704770960652695e-09|Running
-850.8404541015625,249.14065551757812,-294.9591064453125|0.09759394824504852,0,-0.9952263236045837|-3.0018441066204105e-07,1,-2.9436701964868917e-08|Running
-850.676513671875,249.11534118652344,-295.34173583984375|0.14025916159152985,0,-0.9901149272918701|-2.894492752147926e-07,1,-4.100323280908924e-08|Running
-850.4813842773438,249.08779907226562,-295.7966613769531|0.17706431448459625,0,-0.9841992855072021|-1.9545495888451114e-07,1,-3.516371194223211e-08|Running
-850.2846069335938,249.0659942626953,-296.25543212890625|0.20849524438381195,0,-0.9780233502388|-1.2353969225387118e-07,1.0000001192092896,-2.633621853931345e-08|Running
-850.136962890625,249.0470733642578,-296.5995788574219|0.22888284921646118,0,-0.9734539985656738|-9.194978645155061e-08,1.0000001192092896,-2.16196447411221e-08|Running
-849.9400634765625,249.02294921875,-297.0585632324219|0.2525610327720642,0,-0.9675809741020203|-6.500603433323704e-08,1,-1.6968080274182284e-08|Running
-849.7431640625,248.99998474121094,-297.5175476074219|0.27294719219207764,0,-0.9620290398597717|-4.7854559426241394e-08,1,-1.3577311719359386e-08|Running
-849.5463256835938,248.97720336914062,-297.9765625|0.2903478741645813,0,-0.9569211602210999|-3.500019118973796e-08,1,-1.0619715773430016e-08|Running
-849.3494873046875,248.95315551757812,-298.4355773925781|0.3052939176559448,0,-0.9522582292556763|-2.5232775868744284e-08,1.0000001192092896,-8.089625858076488e-09|Running
-849.1519775390625,248.92767333984375,-298.8941955566406|0.318177193403244,0,-0.9480313062667847|-1.8358543130148064e-08,1.0000001192092896,-6.161473109500548e-09|Running
-848.9536743164062,248.90078735351562,-299.3523864746094|0.3294082283973694,0,-0.9441876411437988|-1.3752917915610396e-08,1,-4.798118791171646e-09|Running
-848.7047729492188,248.86941528320312,-299.9248046875|0.34161075949668884,0,-0.9398415684700012|-1.1723908066585409e-08,1,-4.261370367686368e-09|Running
-848.5547485351562,248.8521728515625,-300.2680969238281|0.34801799058914185,0,-0.9374879598617554|-1.09350208887804e-08,1,-4.059341751627699e-09|Running
-848.3539428710938,248.8360137939453,-300.7255859375|0.35559430718421936,0,-0.9346404671669006|-1.1221287898877108e-08,1.0000001192092896,-4.269263165213033e-09|Running
-848.1522216796875,248.8274383544922,-301.18292236328125|0.3623652458190918,0,-0.9320361018180847|-1.0418889750951621e-08,1,-4.05074818132789e-09|Running
-847.8989868164062,248.81764221191406,-301.75421142578125|0.36987486481666565,0,-0.9290816783905029|-9.093696462514345e-09,1.0000001192092896,-3.620273414384201e-09|Running
-847.7463989257812,248.8162078857422,-302.0968017578125|0.3738413155078888,0,-0.9274926781654358|-8.743405999211973e-09,1,-3.5241747298186965e-09|Running
-847.5415649414062,248.81710815429688,-302.5528869628906|0.3787873387336731,0,-0.9254838228225708|-8.864809331043944e-09,1.0000001192092896,-3.628239930719701e-09|Running
-847.3351440429688,248.8186492919922,-303.0082702636719|0.3835446536540985,0,-0.9235222935676575|-8.767053749636489e-09,1,-3.6410130466180135e-09|Running
-847.1270751953125,248.82046508789062,-303.4629211425781|0.3880625069141388,0,-0.9216331839561462|-8.177904575745742e-09,1.0000001192092896,-3.4433851325843534e-09|Running
-846.91748046875,248.8226318359375,-303.9168395996094|0.3923312723636627,0,-0.919823944568634|-8.200190748652858e-09,1,-3.4976164187128234e-09|Running
-846.6524658203125,248.8263702392578,-304.48284912109375|0.39770594239234924,0,-0.9175129532814026|-8.19295831178124e-09,1,-3.551326788198139e-09|Running
-846.4918823242188,248.82952880859375,-304.8216857910156|0.40093889832496643,0,-0.916104793548584|-8.29072721586499e-09,1,-3.6284877324987974e-09|Running
-846.2725830078125,248.83502197265625,-305.27099609375|0.4058893024921417,0,-0.9139223098754883|-8.8080138738178e-09,1.0000001192092896,-3.911797108457904e-09|Running
-846.0471801757812,248.84188842773438,-305.7171630859375|0.41186144948005676,0,-0.9112465381622314|-8.692164321644213e-09,1.0000001192092896,-3.9286485176148744e-09|Running
-845.8135375976562,248.84921264648438,-306.1591491699219|0.419127881526947,0,-0.9079272747039795|-9.434709014044529e-09,1.0000001192092896,-4.355359628505084e-09|Running
-845.5714721679688,248.85629272460938,-306.5965881347656|0.42784756422042847,0,-0.9038508534431458|-1.014110484476305e-08,1,-4.800401409710275e-09|Running
-845.2589721679688,248.864501953125,-307.13775634765625|0.44000911712646484,0,-0.8979933261871338|-9.719595794877023e-09,1,-4.7625192678424355e-09|Running
-845.0657958984375,248.86878967285156,-307.4591064453125|0.44781163334846497,0,-0.8941279053688049|-1.0637934089174905e-08,1.0000001192092896,-5.327862595549959e-09|Running
