bisu|false|19868
-24.34558868408203,7.7945876121521,168.97096252441406|0.13571453094482422,-4.568508682467609e-09,-0.9907479882240295|5.258852797673796e-10,1,-4.5391348457712866e-09|Running
-24.26416015625,7.7945876121521,168.3765411376953|0.13571465015411377,-3.554697514118743e-08,-0.9907479882240295|4.15512380058658e-09,1,-3.5309749790712885e-08|Running
-24.18273162841797,7.7945876121521,167.78211975097656|0.13571476936340332,-6.649897699162466e-08,-0.9907479286193848|7.78126274525448e-09,1,-6.605407776305583e-08|Running
-24.101303100585938,7.7945876121521,167.1876983642578|0.13571488857269287,-9.742451823058218e-08,-0.9907479286193848|1.1404305055862096e-08,1,-9.677212631231669e-08|Running
-24.019874572753906,7.7945876121521,166.59327697753906|0.13571497797966003,-1.1044889447475725e-07,-0.9907479286193848|1.29312951457905e-08,1,-1.0970895658601876e-07|Running
-23.938446044921875,7.7945876121521,165.9988555908203|0.1357150375843048,-6.986087441873678e-08,-0.9907479286193848|8.180795596501866e-09,1,-6.93926409667256e-08|Running
-23.857017517089844,7.7945876121521,165.40443420410156|0.13571509718894958,-2.9307541282719285e-08,-0.9907479286193848|3.434353246234423e-09,1,-2.9110783117403116e-08|Running
-23.775588989257812,7.7945876121521,164.8100128173828|0.13571515679359436,1.1211144901324133e-08,-0.99074786901474|-1.3080352356809044e-09,1,1.113666225904808e-08|Running
-23.69416046142578,7.7945876121521,164.21559143066406|0.13571521639823914,5.169520278514028e-08,-0.99074786901474|-6.0463722917347695e-09,1,5.134971203801797e-08|Running
-23.61273193359375,7.7945876121521,163.6211700439453|0.1357152760028839,9.214464569140546e-08,-0.99074786901474|-1.0780660808507037e-08,1,9.152837776582601e-08|Running
-23.53130340576172,7.7945876121521,163.02674865722656|0.1357153356075287,9.683382273806274e-08,-0.99074786901474|-1.1330500093720275e-08,1,9.618602803129761e-08|Running
-23.449874877929688,7.7945876121521,162.4323272705078|0.13571535050868988,6.580854972071393e-08,-0.99074786901474|-7.701250304137375e-09,1,6.536816954394453e-08|Running
-23.368446350097656,7.7945876121521,161.83790588378906|0.13571535050868988,3.480978705283633e-08,-0.99074786901474|-4.075101145417648e-09,1,3.4576640217665044e-08|Running
-23.287017822265625,7.7945876121521,161.2434844970703|0.13571535050868988,3.837510753612605e-09,-0.99074786901474|-4.520503971150447e-10,1,3.811424065247593e-09|Running
-23.205589294433594,7.7945876121521,160.64906311035156|0.13571535050868988,-2.7108301381417732e-08,-0.99074786901474|3.167903717127274e-09,1,-2.6927505558660414e-08|Running
-23.124160766601562,7.7945876121521,160.0546417236328|0.13571535050868988,-5.8027673333072016e-08,-0.99074786901474|6.784764305933777e-09,1,-5.764017174669789e-08|Running
-23.04273223876953,7.7945876121521,159.46022033691406|0.13571535050868988,-8.892062908216758e-08,-0.99074786901474|1.0398533589750514e-08,1,-8.832659403879006e-08|Running
-22.9613037109375,7.7945876121521,158.8657989501953|0.13571535050868988,-1.1978717395777494e-07,-0.99074786901474|1.4009214233112743e-08,1,-1.1898679019850533e-07|Running
-22.87987518310547,7.7945876121521,158.27137756347656|0.13571535050868988,-7.956332126468624e-08,-0.99074786901474|9.305470172193964e-09,1,-7.903163634637167e-08|Running
-22.798446655273438,7.7945876121521,157.6769561767578|0.13571535050868988,-3.937384107643993e-08,-0.99074786901474|4.605745562713537e-09,1,-3.911062762540496e-08|Running
-22.717018127441406,7.7945876121521,157.08253479003906|0.13571535050868988,7.81298581387091e-10,-0.99074786901474|-8.996428602081608e-11,1,7.762712139758321e-10|Running
-22.635589599609375,7.7945876121521,156.4881134033203|0.13571535050868988,4.0902129683217936e-08,-0.99074786901474|-4.781662177322232e-09,1,4.06290894261474e-08|Running
-22.554161071777344,7.7945876121521,155.89369201660156|0.13571535050868988,8.098868420347571e-08,-0.99074786901474|-9.469352413304932e-09,1,8.044786170557927e-08|Running
-22.472732543945312,7.7945876121521,155.2992706298828|0.13571535050868988,1.0337594602560785e-07,-0.99074786901474|-1.2087472356370199e-08,1,1.0268554717640654e-07|Running
-22.39130401611328,7.7945876121521,154.70484924316406|0.13571535050868988,7.277161273577804e-08,-0.99074786901474|-8.509307036774771e-09,1,7.228556597738134e-08|Running
