mount feels|false|16760
971.0726928710938,8.005867958068848,-155.00924682617188|-0.9678351879119873,-2.2938872135114252e-08,0.25158506631851196|-1.6331933139213106e-08,1,2.8349267822136426e-08|Running
970.5240478515625,8.005892753601074,-154.8673858642578|-0.9651452898979187,-2.9708070670153575e-08,0.2617146074771881|-1.8630117892826092e-08,1,4.4809496557718376e-08|Running
969.9768676757812,8.00590705871582,-154.71994018554688|-0.9613938927650452,-3.668085568619972e-08,0.27517586946487427|-2.0596111482973356e-08,1,6.134214913799951e-08|Running
969.4317016601562,8.005914688110352,-154.56515502929688|-0.9548981189727783,-4.3984684339193336e-08,0.296933650970459|-2.1789768211988303e-08,1,7.80567575020541e-08|Running
968.8900146484375,8.005918502807617,-154.3987274169922|-0.9445196390151978,-5.176758932634584e-08,0.3284549117088318|-2.1777289305191516e-08,1,9.498567976606864e-08|Running
968.3538818359375,8.005921363830566,-154.2152557373047|-0.9343515038490295,-5.997046059746935e-08,0.3563527762889862|-2.153491251988271e-08,1,1.1182536496789908e-07|Running
967.8235473632812,8.005921363830566,-154.0157012939453|-0.9199711680412292,-6.870714486240104e-08,0.39198607206344604|-1.9807975704111414e-08,1,1.2879127098130994e-07|Running
967.301025390625,8.005921363830566,-153.7965850830078|-0.904232382774353,-4.071745607348021e-08,0.42704081535339355|-9.137647083434786e-09,1,7.599953022463524e-08|Running
966.7872314453125,8.005921363830566,-153.55758666992188|-0.8855411410331726,-1.0854241061508674e-08,0.46456095576286316|-2.4173738011334933e-10,1,2.290371803326252e-08|Running
966.2838134765625,8.005921363830566,-153.2975311279297|-0.8644169569015503,2.0902479747064717e-08,0.5027756690979004|6.456291057332919e-09,1,-3.047393448696312e-08|Running
965.792236328125,8.005921363830566,-153.015869140625|-0.8425859808921814,5.44159384219256e-08,0.5385618805885315|1.08665414444431e-08,1,-8.403851836646936e-08|Running
965.3129272460938,8.005921363830566,-152.7137451171875|-0.8281876444816589,5.519494550298987e-08,0.5604509115219116|8.896093639521041e-09,1,-8.533719864090017e-08|Running
964.8424072265625,8.005921363830566,-152.39804077148438|-0.8132212162017822,4.438659928496236e-08,0.5819546580314636|5.07515807157688e-09,1,-6.917957051655321e-08|Running
964.3803100585938,8.005921363830566,-152.07009887695312|-0.8039725422859192,3.339431842164231e-08,0.5946663618087769|2.406102650454045e-09,1,-5.2903409653026756e-08|Running
963.9239501953125,8.005921363830566,-151.7342071533203|-0.8039725422859192,2.2411445144143727e-08,0.5946663618087769|8.265088058401204e-10,1,-3.6570007466707466e-08|Running
963.4683837890625,8.005921363830566,-151.39724731445312|-0.8039725422859192,1.143796968250399e-08,0.5946663618087769|-7.517365618880945e-10,1,-2.0250590537784774e-08|Running
963.0128173828125,8.005921363830566,-151.06027221679688|-0.8039725422859192,4.738865411191284e-10,0.5946663618087769|-2.3286339523309607e-09,1,-3.945143767225545e-09|Running
962.5572509765625,8.005921363830566,-150.72329711914062|-0.8039725422859192,-1.0480812662194694e-08,0.5946663618087769|-3.904184531222654e-09,1,1.2346344391289676e-08|Running
962.1016845703125,8.005921363830566,-150.38632202148438|-0.8039725422859192,-2.1426137308822035e-08,0.5946663618087769|-5.478388409585477e-09,1,2.8623887260437186e-08|Running
961.6461181640625,8.005921363830566,-150.04934692382812|-0.8039725422859192,-3.236209167312154e-08,0.5946663618087769|-7.0512475858208745e-09,1,4.488749283382276e-08|Running
961.1905517578125,8.005921363830566,-149.71237182617188|-0.8039725422859192,-4.3288689965947924e-08,0.5946663618087769|-8.622763836285685e-09,1,6.11371788750148e-08|Running
960.7349853515625,8.005921363830566,-149.37539672851562|-0.8039725422859192,-5.4205937516371705e-08,0.5946663618087769|-1.0192938937336748e-08,1,7.737295248944065e-08|Running
960.2794189453125,8.005921363830566,-149.03842163085938|-0.8039725422859192,-6.511383787710656e-08,0.5946663618087769|-1.1761772000795645e-08,1,9.359482788795503e-08|Running
959.8238525390625,8.005921363830566,-148.70144653320312|-0.8039725422859192,-7.601240525900721e-08,0.5946663618087769|-1.3329265691197634e-08,1,1.0980281928141267e-07|Running
959.3682861328125,8.005921363830566,-148.36447143554688|-0.8039725422859192,-8.690164321478733e-08,0.5946663618087769|-1.4895414679472196e-08,1,1.259969337752409e-07|Running
958.9127197265625,8.005921363830566,-148.02749633789062|-0.8039725422859192,-6.17133508740153e-08,0.5946663618087769|-1.0399071825872852e-08,1,8.971885279152048e-08|Running
958.4571533203125,8.005921363830566,-147.69052124023438|-0.8039725422859192,-2.452902414518121e-08,0.5946663618087769|-3.8870462404361206e-09,1,3.599319953195845e-08|Running
958.0015869140625,8.005921363830566,-147.35354614257812|-0.8039725422859192,1.2623487144480805e-08,0.5946663618087769|2.61941401902277e-09,1,-1.7686470954458855e-08|Running
957.5460205078125,8.005921363830566,-147.01657104492188|-0.8039725422859192,4.9744208752144914e-08,0.5946663618087769|9.120314281574338e-09,1,-7.13202013002956e-08|Running
957.0904541015625,8.005921363830566,-146.67959594726562|-0.8039725422859192,6.250917294892133e-08,0.5946663618087769|1.1256507725931897e-08,1,-8.989788824464995e-08|Running
956.6348876953125,8.005921363830566,-146.34262084960938|-0.8039725422859192,5.094963029250721e-08,0.5946663618087769|9.03358365889062e-09,1,-7.346451269540921e-08|Running
956.1793212890625,8.005921363830566,-146.00564575195312|-0.8039725422859192,3.9399981943688545e-08,0.5946663618087769|6.812563402291971e-09,1,-5.7045212997763883e-08|Running
955.7237548828125,8.005921363830566,-145.66867065429688|-0.8039725422859192,2.7860219020681143e-08,0.5946663618087769|4.593438518440962e-09,1,-4.063996428271821e-08|Running
955.2681884765625,8.005921363830566,-145.33169555664062|-0.8039725422859192,1.6330330865343967e-08,0.5946663618087769|2.3762112277836422e-09,1,-2.4248759444844836e-08|Running
954.8126220703125,8.005921363830566,-144.99472045898438|-0.8039725422859192,4.81030948407124e-09,0.5946663618087769|1.6088000376335287e-10,1,-7.871584273289045e-09|Running
954.3570556640625,8.005921363830566,-144.65774536132812|-0.8039725422859192,-6.699852228564396e-09,0.5946663618087769|-2.052558345511102e-09,1,8.49157011373336e-09|Running
953.9014892578125,8.005921363830566,-144.32077026367188|-0.8039725422859192,-1.8200163154347138e-08,0.5946663618087769|-4.2641050690406246e-09,1,2.4840717927077094e-08|Running
953.4459228515625,8.005921363830566,-143.98379516601562|-0.8039725422859192,-2.9690632175061182e-08,0.5946663618087769|-6.47376241502684e-09,1,4.1175869824883193e-08|Running
952.9903564453125,8.005921363830566,-143.64682006835938|-0.8039725422859192,-4.117126550795547e-08,0.5946663618087769|-8.681529273246724e-09,1,5.7497032912579016e-08|Running
952.5347900390625,8.005921363830566,-143.30984497070312|-0.8039725422859192,-5.264207203481419e-08,0.5946663618087769|-1.0887410084592375e-08,1,7.380423028280347e-08|Running
952.0792236328125,8.005921363830566,-142.97286987304688|-0.8039725422859192,-6.410306241377839e-08,0.5946663618087769|-1.3091403516796163e-08,1,9.009746548827025e-08|Running
951.509765625,8.005921363830566,-142.55165100097656|-0.8111831545829773,-7.823445002941298e-08,0.5847921371459961|-1.6944348146807897e-08,1,1.1027761104287492e-07|Running
951.1655883789062,8.005921363830566,-142.3023223876953|-0.8152487874031067,-8.664343909003946e-08,0.5791109204292297|-1.936433768889856e-08,1,1.2235426538609318e-07|Running
950.7039794921875,8.005921363830566,-141.9736328125|-0.8152489066123962,-7.309434124636027e-08,0.5791107416152954|-1.6131421531895285e-08,1,1.0350908041800722e-07|Running
950.2420654296875,8.005921363830566,-141.64544677734375|-0.8162594437599182,-3.488278466079464e-08,0.5776854753494263|-7.653092382042814e-09,1,4.957001209504597e-08|Running
949.7796020507812,8.005921363830566,-141.31797790527344|-0.8162599802017212,3.296061867885669e-09,0.5776847004890442|9.986081961343984e-10,1,-4.294622435452311e-09|Running
949.3169555664062,8.005921363830566,-140.9906463623047|-0.8162599802017212,4.144226295466069e-08,0.5776847004890442|9.642960208111617e-09,1,-5.811319070403442e-08|Running
948.8543090820312,8.005921363830566,-140.66331481933594|-0.8162599802017212,6.707545452400154e-08,0.5776847004890442|1.5421139920590576e-08,1,-9.43209954584745e-08|Running
948.3916625976562,8.005921363830566,-140.3359832763672|-0.8162599802017212,5.526156954260841e-08,0.5776847004890442|1.2621705458570887e-08,1,-7.782615085716316e-08|Running
948.044677734375,8.005921363830566,-140.09048461914062|-0.8162599802017212,4.640778428210979e-08,0.5776847004890442|1.0523699245368334e-08,1,-6.546427755438344e-08|Running
947.4663696289062,8.005921363830566,-139.6813201904297|-0.8162599802017212,3.1664093569361285e-08,0.5776847004890442|7.030011683895054e-09,1,-4.487876736902763e-08|Running
