Mt Newbie|true|53710
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-5.661728863515236e-10,1.0000001192092896,2.2453621184581607e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.1734518912120961e-09,1.0000001192092896,4.653745122595865e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.7802121998755638e-09,1.0000001192092896,7.060071283149227e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-2.0517028076483257e-09,1.0000001192092896,8.136765217159336e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.319137687971761e-09,1.0000001192092896,5.231514421666361e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-5.871982899918748e-10,1.0000001192092896,2.328745907220764e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.4411552506921055e-10,1.0000001192092896,-5.715419248986109e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|8.748045066120369e-10,1.0000001192092896,-3.4693517392270223e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.6048693485259946e-09,1.0000001192092896,-6.364685845028362e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.9968058317942905e-09,1.0000001192092896,-7.919051370208763e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.3763281625500667e-09,1.0000001192092896,-5.4583239261774e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|7.563804582666478e-10,1.0000001192092896,-2.999698622829783e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.3696251077721655e-10,1.0000001192092896,-5.431740834893617e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-4.819261656408003e-10,1.0000001192092896,1.911251423791782e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.1002858624209466e-09,1.0000001192092896,4.363579364508041e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.7181175371305812e-09,1.0000001192092896,6.813812092332228e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-2.0060559879908624e-09,1.0000001192092896,7.955735981113321e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.306074470797114e-09,1.0000001192092896,5.1797076849879886e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-6.06691030746731e-10,1.0000001192092896,2.4060515357859913e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|9.209464441051196e-11,1.0000001192092896,-3.6523442048519428e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|7.902833387696262e-10,1.0000001192092896,-3.134152493089459e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.4878754894809276e-09,1.0000001192092896,-5.900704991290695e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|2.184871394916854e-09,1.0000001192092896,-8.664893158538689e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.5292929145260814e-09,1.0000001192092896,-6.064960444973622e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|8.74274763695837e-10,1.0000001192092896,-3.4672510196287476e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|2.198161791477915e-10,1.0000001192092896,-8.717600863406005e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-4.3408324157390155e-10,1.0000001192092896,1.7215130654335553e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.0874238176583617e-09,1.0000001192092896,4.3125698567791915e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.7402063123839184e-09,1.0000001192092896,6.901413485138619e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-2.0535606548577334e-09,1.0000001192092896,8.144132834786433e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.3504715123957567e-09,1.0000001192092896,5.3557801749093414e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-6.479828895677997e-10,1.0000001192092896,2.569809076646834e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|5.3905491181893694e-11,1.0000001192092896,-2.1378159242857464e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|7.551941294536846e-10,1.0000001192092896,-2.9949937641049473e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.455883524847934e-09,1.0000001192092896,-5.773829414579268e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|2.1559745100319105e-09,1.0000001192092896,-8.55029185231615e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.5162422428716127e-09,1.0000001192092896,-6.01320380155812e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|8.770564274840353e-10,1.0000001192092896,-3.478282550872791e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|2.3841678631342234e-10,1.0000001192092896,-9.455274785352685e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-3.9967709697386056e-10,1.0000001192092896,1.5850631029934448e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.0372258607560525e-09,1.0000001192092896,4.113491769430766e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.674229754833334e-09,1.0000001192092896,6.639759675408641e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.98291649766702e-09,1.0000001192092896,7.863967965704433e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.3084400229956827e-09,1.0000001192092896,5.189088980728229e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-6.345398095852772e-10,1.0000001192092896,2.516495634097282e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|3.878458665340645e-11,1.0000001192092896,-1.5381421691884611e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|7.115336653207294e-10,1.0000001192092896,-2.8218424930059882e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.3837079260170526e-09,1.0000001192092896,-5.4875908261919903e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|2.0553079238538885e-09,1.0000001192092896,-8.151062047545565e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.706277008572954e-09,1.0000001192092896,-6.76685445455405e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.0176708364895148e-09,1.0000001192092896,-4.03593958253623e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|3.296529993424002e-10,1.0000001192092896,-1.3073574223199103e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-3.577769747131754e-10,1.0000001192092896,1.4188931807268546e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.0446196130331487e-09,1.0000001192092896,4.142814447050114e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.7308752209288514e-09,1.0000001192092896,6.864407708917497e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.7697062704158384e-09,1.0000001192092896,7.018406478209727e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-1.1619415429819924e-09,1.0000001192092896,4.608096659808325e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|-5.546961223679148e-10,1.0000001192092896,2.199846882433576e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|5.2030341840536565e-11,1.0000001192092896,-2.0634502995164894e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|6.582384082243209e-10,1.0000001192092896,-2.610481075748794e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.2639285174032011e-09,1.0000001192092896,-5.0125628092700936e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9996823072433472,0,0.02520720474421978|1.8691010961191523e-09,1.0000001192092896,-7.412592850641886e-08|Running
