Mt Freestyle|true|13238
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,1.8450883487730607e-08,0.4008276164531708|-4.432373401641598e-08,1,5.527678226258104e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,9.342636886344735e-09,0.4008274972438812|-2.244295238540417e-08,1,2.7988484418983717e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.421647882222544e-10,0.4008276164531708|-5.80867742794311e-10,1,7.235010368589201e-10|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-8.850547850158819e-09,0.4008274972438812|2.1262550831124827e-08,1,-2.6518176099443735e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-1.7935496643417537e-08,0.4008276164531708|4.308731860191983e-08,1,-5.373657074869698e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-2.701269963267805e-08,0.4008274972438812|6.489343462590114e-08,1,-8.093170578149511e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-2.652548047876735e-08,0.4008276164531708|6.372277994159958e-08,1,-7.94714907215166e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-1.648608183302258e-08,0.4008274972438812|3.960474259656621e-08,1,-4.939268194448232e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-6.45525188858187e-09,0.4008276164531708|1.550731987265408e-08,1,-1.93395699454868e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,3.567024675632524e-09,0.4008274972438812|-8.569532639057797e-09,1,1.0687847940005213e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,1.3580746305308367e-08,0.4008276164531708|-3.2625823820353617e-08,1,4.068960279823841e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.3585931430147866e-08,0.4008274972438812|-5.6661566105731254e-08,1,7.066572038638697e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.8763770032469438e-08,0.4008276164531708|-6.910040184493482e-08,1,8.617869440286086e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,1.948694894338132e-08,0.4008274972438812|-4.681423249053296e-08,1,5.838440841898773e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,1.0218042412191153e-08,0.4008276164531708|-2.4547112786876824e-08,1,3.0613858115202675e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,9.57038448490266e-10,0.4008274972438812|-2.298996548688592e-09,1,2.8670572582711884e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-8.29606161545371e-09,0.4008276164531708|1.9930116224031735e-08,1,-2.4856033675746403e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-1.754127154640628e-08,0.4008274972438812|4.214024329485255e-08,1,-5.2555432006329283e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-2.6778590012099812e-08,0.4008276164531708|6.433141663819697e-08,1,-8.02311532765998e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-2.645548669022446e-08,0.4008274972438812|6.35551415939517e-08,1,-7.92629819557078e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-1.6584186468548978e-08,0.4008276164531708|3.984087015851401e-08,1,-4.968761047052794e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-6.7213057342030424e-09,0.4008274972438812|1.614683498019076e-08,1,-2.0137525424956948e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,3.1331561789471607e-09,0.4008276164531708|-7.52695861194752e-09,1,9.387309596320392e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,1.297921770060384e-08,0.4008274972438812|-3.118053726325343e-08,1,3.8886906139623534e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.2816871947384243e-08,0.4008276164531708|-5.481392051365219e-08,1,6.836128818576981e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.795349374196121e-08,0.4008274972438812|-6.715377764976438e-08,1,8.375093329959782e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,1.9013793206568153e-08,0.4008276164531708|-4.5677555959855454e-08,1,5.6966779737877005e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,1.231402091406153e-08,0.4008274972438812|-2.95824111873344e-08,1,3.689369876269666e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,1.1572658387137835e-09,0.4008276164531708|-2.7800952651091393e-09,1,3.467146569846591e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-7.759576980959082e-09,0.4008274972438812|1.8641163279653483e-08,1,-2.3248380998097673e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-1.6668806779307488e-08,0.4008276164531708|4.004412801350554e-08,1,-4.9941075275228286e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-2.55704399876322e-08,0.4008274972438812|6.142880693005282e-08,1,-7.661095935418416e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-2.5316184704138323e-08,0.4008276164531708|6.081798886725664e-08,1,-7.58491296437569e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-1.5917759554895383e-08,0.4008274972438812|3.8239800659312095e-08,1,-4.7690765114793976e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-6.527354656782336e-09,0.4008276164531708|1.568091256842763e-08,1,-1.9556456010150214e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.855042424698695e-09,0.4008274972438812|-6.858720702496157e-09,1,8.553802111066489e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,1.222942991319087e-08,0.4008276164531708|-2.9379103594351363e-08,1,3.66400350060303e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.1595825572262584e-08,0.4008274972438812|-5.1880245877100606e-08,1,6.470226310284488e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,3.095422229648648e-08,0.4008276164531708|-7.436219107148645e-08,1,9.274050682961388e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.1365417879337656e-08,0.4008274972438812|-5.132672598051613e-08,1,6.401193530791716e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,1.178480246721847e-08,0.4008276164531708|-2.831095891053792e-08,1,3.530790237959991e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,2.21235452180224e-09,0.4008274972438812|-5.314833462222168e-09,1,6.628410265108187e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-7.3519208498851185e-09,0.4008276164531708|1.7661648143985076e-08,1,-2.202657256589191e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-1.6908042965724235e-08,0.4008274972438812|4.0618505892098256e-08,1,-5.0657067873771666e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-2.6456007162778405e-08,0.4008276164531708|6.355576687155917e-08,1,-7.926308853711816e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-2.641929341962168e-08,0.4008274972438812|6.34675458854872e-08,1,-7.915306809991307e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-1.6810162151159602e-08,0.4008276164531708|4.0383365984553166e-08,1,-5.0363791359586685e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-7.2092256608868865e-09,0.4008274972438812|1.7318878775540725e-08,1,-2.1599131372340707e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.383515385062651e-09,0.4008276164531708|-5.72590153069541e-09,1,7.140948721229279e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,1.196807630776675e-08,0.4008274972438812|-2.8751003355864668e-08,1,3.585646268788878e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.1544456885180807e-08,0.4008276164531708|-5.1756444463535445e-08,1,6.45474287352954e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,3.111267332656098e-08,0.4008274972438812|-7.47422319591351e-08,1,9.321388461103197e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.1569137587107434e-08,0.4008276164531708|-5.181572504397991e-08,1,6.462134649609652e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,1.2033739338335181e-08,0.4008274972438812|-2.890877581762652e-08,1,3.6053261709412254e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,2.5064799125118498e-09,0.4008276164531708|-6.0214011554649005e-09,1,7.509581401166088e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-7.012656677574114e-09,0.4008274972438812|1.6846433581463316e-08,1,-2.1009695316820398e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-1.652366599103061e-08,0.4008276164531708|3.9694739939477586e-08,1,-4.950459953079189e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-2.6026564015069198e-08,0.4008274972438812|6.252352591218369e-08,1,-7.797515166885205e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-2.6064039815310025e-08,0.4008276164531708|6.26135658876592e-08,1,-7.80874245265295e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161535501480103,-1.6648201039970445e-08,0.4008274972438812|3.9993942380078806e-08,1,-4.987779078646781e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9161534905433655,-7.2403989470615215e-09,0.4008276164531708|1.739365274033844e-08,1,-2.1692258656003105e-08|Running
