MT Cinlok|true|40325
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|-1.509203872984699e-11,1.0000001192092896,1.1499539515069657e-10|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|-3.129066727947105e-10,1.0000001192092896,2.3842254837092014e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|-6.104671768092373e-10,1.0000001192092896,4.651519169840412e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|-9.077731899509445e-10,1.0000001192092896,6.916873740436813e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|-1.2048250175311637e-09,1.0000001192092896,9.180292082078267e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|-1.2972354301865607e-09,1.0000001192092896,9.884423057826552e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|-7.766657872387839e-10,1.0000001192092896,5.91788751336253e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|3.3546273398021853e-12,1.0000001192092896,-2.5560937047530707e-11|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|2.6313926038135094e-10,1.0000001192092896,-2.005017485373628e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|7.823753866986749e-10,1.0000001192092896,-5.961392268716281e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|1.301168062184388e-09,1.0000001192092896,-9.914387533171976e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|9.711826898239906e-10,1.0000001192092896,-7.400029033988176e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|6.414793696229992e-10,1.0000001192092896,-4.88781992658005e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|1.474525779254776e-10,1.0000001192092896,-1.123530490865221e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|-9.932330652384636e-11,1.0000001192092896,7.568044524397521e-10|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|-5.10264996922416e-10,1.0000001192092896,3.888018351716482e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|-6.745187741685754e-10,1.0000001192092896,5.139567438305903e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|-1.0028158303754253e-09,1.0000001192092896,7.641061117169556e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9914976954460144,0,0.1301245391368866|-1.330832000157045e-09,1.0000001192092896,1.0140415618309362e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9912635684013367,0,0.13189585506916046|-8.430405817883013e-10,1,6.335873159457606e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9908023476600647,0,0.13531748950481415|-4.337991910130512e-10,1.0000001192092896,3.1763023322639583e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9908023476600647,0,0.13531748950481415|4.268747577640397e-10,1.0000001192092896,-3.1256013333091914e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.990558922290802,0,0.1370876431465149|1.023819029555284e-09,1,-7.397844559164923e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9898270964622498,0,0.14227581024169922|1.7075866276528018e-09,1.0000001192092896,-1.1879851768981098e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9888120889663696,0,0.14916713535785675|1.3401997289719247e-09,1,-8.884032176581513e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9871903657913208,0,0.15954715013504028|9.010843737833341e-10,1.0000001192092896,-5.575416572867198e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.984872579574585,0,0.17328044772148132|3.2529673399395165e-10,1.0000001192092896,-1.84888626630908e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9810196161270142,0,0.19390898942947388|-4.916764773099658e-10,1,2.4874775572669705e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9771157503128052,0,0.21270838379859924|-1.6030873295491688e-09,1,7.364081788807653e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.972029447555542,0,0.23485930263996124|-3.107464285889705e-09,1.0000001192092896,1.2861089970783723e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9650940895080566,0,0.2619035542011261|-5.177756445817749e-09,1.0000001192092896,1.9079626767393165e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.959385871887207,0,0.2820969223976135|-5.577654782484842e-09,1,1.8969094739418324e-08|Running
-856.220703125,16.005916595458984,892.8727416992188|0.953790009021759,0,0.30047407746315|-2.9723199457265537e-09,1,9.434987013889895e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9397720694541931,0,0.34180188179016113|7.027842197082634e-10,1.0000001192092896,-1.9322801136922862e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9292032122612,0,0.36956945061683655|2.7317073048038765e-09,1.0000001192092896,-6.868293045414475e-09|Running
-856.220703125,16.005916595458984,892.8727416992188|0.9226067662239075,0,0.3857419192790985|7.2171073561833055e-09,1.0000001192092896,-1.7261676532598358e-08|Running
