Mt Seru|true|32212
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-1.7217866021823625e-11,1,-3.147310467799258e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-4.0793878691713914e-11,1,-7.456847361808627e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9984118938446045,0,-0.05633538216352463|-6.295623744545509e-11,1.0000001192092896,-1.1157509360870677e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9984118938446045,0,-0.05633538216352463|-6.155728704548835e-11,1.0000001192092896,-1.0909578795903485e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9984118938446045,0,-0.05633538216352463|-3.802578737999163e-11,1.0000001192092896,-6.739174773784384e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9984118938446045,0,-0.05633538216352463|-1.4514481630478748e-11,1.0000001192092896,-2.572349833140919e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.998310387134552,0,-0.058106597512960434|5.571561875056252e-12,1,9.572317938300046e-11|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.998310387134552,0,-0.058106597512960434|2.6050042331582368e-11,1,4.4755724126765983e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.998310387134552,0,-0.058106597512960434|4.6511058893194956e-11,1,7.990912931354899e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9982096552848816,0,-0.0598132349550724|6.106679745210286e-11,1.0000001192092896,1.0191301136330821e-09|Running
