paralel|true|1828
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,3.5459979841334643e-08,-0.26968708634376526|-4.0398919765038954e-08,1,-1.2763246459712718e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,4.299906208871107e-08,-0.26968708634376526|-4.898806338360373e-08,1,-1.547680916758054e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-6.391429963059636e-08,-0.26968708634376526|7.281642666612242e-08,1,2.3004934845971547e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-1.0125805971483715e-08,-0.26968708634376526|1.1536148036839222e-08,1,3.644613055797663e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,8.792392947043481e-08,-0.26968708634376526|-1.0017017615382429e-07,1,-3.164684514445071e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-1.4271386739039826e-08,-0.26968708634376526|1.6259141588648163e-08,1,5.136775005354366e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-5.5224717243618215e-08,-0.26968708634376526|6.291654841561467e-08,1,1.987728914798481e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,5.603002861676032e-08,-0.26968708634376526|-6.38340367231649e-08,1,-2.0167188807818093e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,1.9463829659116527e-08,-0.26968708634376526|-2.2174802438712504e-08,1,-7.005721780473095e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-8.972002518703448e-08,-0.26968708634376526|1.022164681785398e-07,1,3.229341061228297e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,1.0166743891204533e-08,-0.26968708634376526|-1.1582796055620292e-08,1,-3.659377467712943e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,9.242534559916749e-08,-0.26968708634376526|-1.0529858940344639e-07,1,-3.32671739045054e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-1.048372499923289e-08,-0.26968708634376526|1.1943930289248783e-08,1,3.7734810831580035e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-8.743490553797528e-08,-0.26968708634376526|9.961308222727894e-08,1,3.147097515920905e-08|Running
